face 799 244 831 283
face 732 223 767 259 difficult
face 729 134 756 165 difficult
face 664 122 695 158 difficult
face 631 234 665 270 difficult
face 637 180 665 213 difficult
face 580 138 609 168 difficult
face 614 113 641 144 difficult
face 522 113 551 148 difficult
face 533 169 568 203 difficult
face 535 237 568 274 difficult
face 481 120 511 157 difficult
face 429 157 463 194 difficult
face 425 249 458 289 difficult
face 331 247 364 285 difficult
face 358 157 389 191 difficult
face 382 118 410 151 difficult
face 416 100 445 131 difficult
face 284 112 312 146 difficult
face 294 171 325 204 difficult
face 225 171 253 207 difficult
face 188 103 222 142 difficult
face 156 191 186 222 difficult
face 157 246 187 284 difficult
face 79 236 113 272 difficult
face 241 238 273 275 difficult
face 895 229 926 271 difficult
face 869 173 900 208 difficult
face 845 119 876 153 difficult
face 791 109 820 140 difficult
face 763 154 793 191 difficult
