face 177 121 240 194
face 312 74 384 161
face 447 38 526 146
face 633 64 698 153
face 808 82 868 164
face 940 260 968 299 difficult
face 992 269 1022 301 difficult
face 934 209 951 230 difficult
face 986 187 1003 209 difficult
face 758 164 776 191 difficult
face 286 143 297 159 difficult
face 146 194 161 208 difficult
face 77 161 89 177 difficult
face 86 269 102 295 difficult
face 58 241 76 265 difficult
face 71 229 85 256 difficult
face 28 230 43 252 difficult
face 6 249 20 273 difficult
face 0 236 9 252 difficult
