face 41 199 116 316
face 419 58 547 244
face 619 450 643 485 difficult
face 609 518 645 574 difficult
face 691 547 739 587 difficult
face 931 443 964 482 difficult
face 851 386 877 421 difficult
face 892 381 919 412 difficult
face 949 373 975 406 difficult
face 992 483 1024 565 difficult
face 743 481 770 523 difficult
face 947 489 988 558 difficult
face 667 446 697 483 difficult
face 858 354 878 379 difficult
face 818 410 840 434 difficult
face 748 379 766 401 difficult
face 788 348 803 373 difficult
face 734 350 753 376 difficult
face 712 360 727 383 difficult
face 853 301 874 331 difficult
face 816 336 842 366 difficult
face 1007 343 1023 372 difficult
face 1010 383 1024 409 difficult
face 1011 431 1024 471 difficult
face 727 232 747 257 difficult
face 838 217 858 244 difficult
face 845 135 862 157 difficult
face 917 122 934 145 difficult
face 881 92 896 112 difficult
face 818 93 833 114 difficult
face 786 162 800 185 difficult
face 690 200 709 227 difficult
face 615 110 631 130 difficult
face 311 166 326 183 difficult
face 263 170 276 188 difficult
face 231 119 247 139 difficult
face 291 123 305 141 difficult
face 336 125 351 143 difficult
face 202 329 218 351 difficult
face 165 288 181 312 difficult
face 94 161 115 178 difficult
face 229 358 248 383 difficult
face 682 509 719 558 difficult
face 320 66 334 86 difficult
face 221 70 235 87 difficult
face 273 71 285 87 difficult
face 167 72 181 87 difficult
face 780 226 798 247 difficult
face 741 196 758 219 difficult
face 798 187 814 209 difficult
face 795 387 817 416 difficult
face 775 99 792 117 difficult
face 683 81 696 98 difficult
face 867 218 884 240 difficult
face 957 357 975 377 difficult
face 365 88 379 106 difficult
face 210 103 223 120 difficult
face 320 99 333 114 difficult
face 198 45 210 62 difficult
face 258 34 270 50 difficult
face 293 42 303 56 difficult
face 339 31 351 47 difficult
face 389 32 400 48 difficult
face 146 45 156 58 difficult
face 630 82 642 98 difficult
face 746 80 757 94 difficult
face 746 47 759 63 difficult
face 749 12 760 25 difficult
face 788 12 801 27 difficult
face 675 18 689 34 difficult
face 923 362 945 389 difficult
face 772 406 789 427 difficult
face 982 155 998 178 difficult
face 658 254 675 273 difficult
face 270 5 285 22 difficult
face 297 14 311 31 difficult
