face 214 355 281 426
face 313 330 348 392 difficult
face 288 251 332 301 difficult
face 413 240 437 268 difficult
face 143 262 186 306 difficult
face 128 242 156 277 difficult
face 93 225 110 261 difficult
face 212 221 244 258 difficult
face 333 210 348 232 difficult
face 539 283 581 331 difficult
face 600 261 629 298 difficult
face 724 246 749 276 difficult
face 801 218 821 240 difficult
face 467 184 494 214 difficult
face 890 178 910 200 difficult
face 844 195 865 221 difficult
face 773 190 790 216 difficult
face 809 192 830 209 difficult
face 714 194 726 210 difficult
face 740 160 751 173 difficult
face 835 176 846 187 difficult
face 787 160 799 174 difficult
face 873 175 882 189 difficult
face 834 137 841 149 difficult
face 821 170 831 182 difficult
face 881 159 888 166 difficult
face 895 134 902 149 difficult
face 535 128 542 139 difficult
face 543 134 549 144 difficult
face 480 132 486 140 difficult
face 490 166 497 177 difficult
face 194 183 207 197 difficult
face 175 171 186 184 difficult
face 217 168 223 176 difficult
face 85 357 107 400 difficult
face 637 172 648 184 difficult
face 678 198 695 221 difficult
face 998 261 1024 299 difficult
face 873 286 911 324 difficult
face 772 134 782 144 difficult
face 851 129 861 143 difficult
face 931 128 943 143 difficult
face 996 124 1009 139 difficult
face 587 168 600 184 difficult
face 613 169 621 182 difficult
face 551 171 563 184 difficult
face 542 207 575 238 difficult
face 140 203 155 221 difficult
face 190 219 204 241 difficult
face 150 187 166 203 difficult
face 226 192 249 225 difficult
